User ID,Heart Rate (BPM),Blood Oxygen Level (%),Step Count,Sleep Duration (hours),Activity Level,Stress Level
2275,73.52,100.0,2078,7,sedentary,9
2016,87.62,99.22,1900,6,sedentary,9
4773,70.45,97.62,6785,5,highly active,3
3343,84.03,98.97,8185,6,active,1
4796,83.28,97.36,1933,8,active,6
3767,72.91,96.66,4472,7,active,6
4820,80.29,93.22,10124,6,highly active,10
1337,54.86,98.78,8196,6,highly active,4
1878,95.12,99.0,503,7,sedentary,9
1791,72.33,100.0,8993,6,active,3
4993,59.21,98.69,1384,6,active,2
3264,63.48,95.51,1526,3,active,10
1763,99.65,95.6,6963,7,active,7
3235,77.07,98.44,2336,5,active,2
1379,70.55,99.79,2738,7,sedentary,1
1492,70.46,99.92,5179,7,highly active,4
4112,75.03,97.13,9720,8,sedentary,2
2180,85.84,93.8,4828,8,highly active,10
3062,77.91,98.01,15672,9,sedentary,10
4884,78.23,98.01,789,4,sedentary,3
1064,61.15,98.67,9821,6,active,6
4928,70.59,97.47,4978,3,highly active,6
4910,77.35,97.4,11876,7,sedentary,9
3568,74.53,98.96,2663,6,sedentary,7
2367,68.76,97.28,4606,6,active,4
2152,67.39,100.0,12145,7,active,4
3027,81.53,97.62,12477,5,active,10
2495,89.84,92.91,12090,6,active,7
4134,77.94,99.07,8029,7,sedentary,5
2162,43.86,99.27,3687,6,sedentary,9
3640,74.87,95.38,220,5,highly active,6
1391,68.85,96.23,3376,8,highly active,7
2698,74.13,100.0,2567,6,active,10
1418,69.06,97.63,19216,6,sedentary,2
3336,62.72,96.76,733,8,highly active,9
1378,84.22,100.0,6922,6,active,10
2796,72.77,95.94,8827,7,sedentary,8
4561,73.66,97.17,1425,7,highly active,5
3278,40.0,100.0,1137,6,highly active,8
4065,71.6,100.0,343,7,highly active,4
3088,58.85,100.0,1211,6,sedentary,7
4099,75.21,99.48,11560,6,highly active,7
3182,78.54,100.0,20171,7,active,5
1200,65.8,99.88,16218,5,highly active,2
3996,67.87,98.66,3182,7,active,9
3977,67.4,97.39,12283,4,sedentary,4
4104,59.17,95.52,11717,5,active,6
4119,49.18,93.57,453,5,sedentary,3
1502,80.05,99.91,1693,6,active,4
3454,67.25,97.8,19572,5,highly active,3
4645,50.02,96.29,9427,8,active,9
1804,80.07,100.0,5053,5,sedentary,8
3146,57.18,97.69,3495,5,highly active,4
3731,64.43,99.14,7373,6,active,1
2895,90.7,97.95,4482,6,sedentary,7
3773,75.21,97.27,3276,10,active,4
2570,68.72,100.0,2993,5,highly active,4
1960,86.26,98.54,1203,3,sedentary,3
4810,72.48,95.5,5276,4,sedentary,7
3660,93.45,98.73,5136,4,sedentary,2
2485,68.81,99.27,6254,7,sedentary,2
3690,66.44,100.0,865,7,active,7
4840,75.25,98.58,17249,7,sedentary,1
2028,89.47,98.12,9485,8,active,3
4289,78.74,99.03,983,9,sedentary,10
1502,76.55,95.89,579,8,highly active,10
3814,62.89,100.0,7209,8,highly active,2
1397,60.69,100.0,2925,4,highly active,4
1870,89.49,98.01,2690,6,sedentary,6
3842,91.06,98.63,12828,9,highly active,4
1392,90.58,95.25,2963,6,highly active,3
1206,86.87,98.06,7001,8,active,2
2038,81.7,99.0,5391,7,active,4
2881,81.47,95.95,2136,8,active,2
4625,77.0,96.91,2820,5,highly active,6
3939,83.43,97.03,20077,8,sedentary,10
2484,74.37,96.75,2818,6,sedentary,5
4762,75.21,100.0,10727,7,highly active,4
4646,88.76,97.67,13827,6,highly active,3
1863,56.13,100.0,516,8,sedentary,3
3790,91.44,97.03,7616,8,sedentary,2
4312,74.13,97.31,9683,4,highly active,7
1563,96.87,98.09,3984,5,active,9
2020,94.06,98.41,5897,6,sedentary,1
1095,59.54,95.9,1236,8,sedentary,9
2923,75.21,98.71,4978,6,highly active,8
2757,47.01,95.78,8609,5,sedentary,10
3532,69.21,100.0,6459,4,highly active,1
4478,80.34,96.93,1026,8,highly active,1
3796,76.04,96.88,19441,8,sedentary,7
2678,81.64,100.0,1776,5,active,9
4242,64.46,97.05,14563,6,sedentary,10
1540,74.71,97.89,2176,5,highly active,6
2059,66.15,97.52,5807,5,highly active,5
3572,79.24,97.41,10664,6,active,2
2183,95.85,95.06,2952,6,sedentary,7
4910,74.15,96.55,5670,4,highly active,1
2722,54.43,98.7,4189,6,highly active,4
4314,77.94,99.09,9996,7,highly active,5
4157,85.58,95.73,4560,7,highly active,6
2819,61.23,96.69,5858,3,active,1
3625,93.63,97.84,13076,6,highly active,9
3729,66.05,98.16,8396,3,highly active,9
3604,63.6,98.77,5248,6,active,4
2597,48.29,100.0,4330,6,sedentary,1
4060,79.03,98.67,949,7,sedentary,8
3693,102.24,95.99,406,8,highly active,8
2051,63.99,99.96,1445,7,highly active,10
2643,82.7,94.84,2269,7,active,3
4627,87.01,98.94,6608,5,sedentary,2
2363,92.41,100.0,12319,8,highly active,7
4869,56.48,96.7,12534,7,sedentary,10
2981,98.3,99.39,12389,6,active,7
2663,101.3,97.41,401,4,active,9
2529,77.33,96.24,3574,7,active,7
3038,83.65,99.25,17140,5,sedentary,8
4419,60.77,99.53,4409,7,active,6
2496,89.77,98.84,14352,6,sedentary,1
4302,58.85,99.19,125,7,highly active,9
3237,79.03,99.45,4913,8,sedentary,7
4296,68.54,100.0,17898,7,highly active,10
2408,73.68,96.85,2120,8,sedentary,8
2400,91.28,92.94,18581,5,active,2
2306,69.67,97.18,60,9,sedentary,7
3680,91.59,97.2,576,5,highly active,10
1972,76.96,98.01,787,6,active,3
2768,107.25,98.54,1790,6,highly active,4
2282,76.83,100.0,2472,4,sedentary,10
4430,73.86,98.03,4598,5,active,9
2479,70.05,96.58,17871,4,highly active,5
2434,75.21,99.44,15202,6,active,10
1648,105.89,97.82,9650,9,active,10
1317,68.91,96.87,7537,8,highly active,3
4748,52.16,98.12,1600,7,highly active,6
4296,72.67,99.68,6446,10,highly active,5
4890,80.35,97.78,1113,4,highly active,6
2257,71.88,97.67,4220,6,active,4
1683,74.27,97.91,4333,10,sedentary,2
2998,81.38,98.41,12618,5,active,8
4898,87.28,98.39,2705,8,highly active,5
4445,72.11,95.56,294,6,sedentary,9
4743,113.84,97.71,337,8,sedentary,10
2631,75.21,100.0,14546,8,highly active,3
2495,74.92,99.16,4663,6,highly active,6
4304,55.22,100.0,1995,8,highly active,3
4763,76.71,98.83,230,6,highly active,7
2136,87.21,98.44,5267,7,highly active,1
2853,87.32,100.0,1032,7,sedentary,6
2520,75.21,97.12,3777,6,sedentary,4
3489,76.73,97.0,5081,9,active,2
1563,67.79,100.0,1822,7,sedentary,6
2291,97.46,99.81,1552,7,sedentary,1
4581,76.86,97.44,140,5,highly active,4
4878,40.74,96.73,6165,6,active,1
4457,80.52,95.94,1566,7,highly active,8
4458,45.75,97.36,14739,8,highly active,3
4184,81.75,99.85,6480,9,highly active,2
2636,113.81,93.65,5690,5,active,8
4696,95.41,100.0,4918,5,sedentary,6
3999,75.21,99.42,1697,5,sedentary,7
3160,84.54,96.99,2713,6,sedentary,1
2781,71.0,96.19,10480,7,highly active,8
1641,66.92,98.58,889,7,highly active,5
3267,61.4,99.08,10616,6,active,6
2589,80.62,99.54,2361,5,sedentary,2
1854,68.75,94.43,2389,8,sedentary,6
2759,77.52,97.11,4954,7,sedentary,6
4296,88.92,99.24,3487,6,sedentary,9
4474,84.68,98.5,6294,6,active,8
2661,93.33,100.0,1684,4,active,3
2153,80.93,98.39,4115,7,active,4
2076,85.49,99.06,1839,4,highly active,10
2707,81.04,96.33,13643,7,highly active,8
3777,75.24,99.45,2888,7,highly active,10
2695,87.56,95.39,15293,9,active,10
2733,99.14,95.95,2763,5,active,3
2439,87.82,96.46,1385,6,sedentary,8
3294,75.21,100.0,6017,6,active,3
1835,72.49,97.29,5670,8,sedentary,8
4510,73.05,98.9,6753,7,highly active,2
1202,89.21,99.12,2518,7,highly active,1
4255,67.11,99.06,2699,8,active,3
1122,59.63,95.98,1897,6,active,8
1400,82.03,98.74,18457,9,sedentary,6
1766,75.32,96.06,8041,6,sedentary,4
3327,41.15,100.0,1511,6,sedentary,2
4908,78.12,97.5,7584,7,highly active,5
3931,68.94,97.61,10068,8,sedentary,5
4681,87.15,100.0,2935,5,highly active,1
1197,70.8,99.68,1201,8,sedentary,7
2930,89.04,98.72,6612,10,active,7
4582,94.18,99.18,6000,6,highly active,9
3799,73.53,95.53,1411,7,sedentary,5
3191,73.82,96.66,2131,6,sedentary,5
1608,94.06,97.52,6864,7,active,1
4272,92.38,98.23,6656,3,active,10
2147,90.47,100.0,5663,4,sedentary,7
1186,68.96,96.82,10231,8,sedentary,2
4397,65.12,100.0,11799,7,active,10
3511,99.55,99.14,2266,3,highly active,10
4420,84.15,94.98,1201,6,active,2
1659,73.4,100.0,2312,6,active,8
3811,76.27,97.81,20662,8,active,3
4002,73.42,96.73,1033,8,highly active,3
2955,70.62,97.07,14770,3,highly active,2
3450,93.46,99.18,1592,6,highly active,7
2986,108.8,100.0,942,4,active,4
2534,94.28,100.0,764,8,sedentary,4
1146,77.04,99.61,700,7,highly active,6
4219,96.26,95.91,2938,8,active,4
3911,80.29,100.0,5192,6,sedentary,7
2734,111.27,100.0,1569,5,sedentary,6
2843,70.28,100.0,18887,6,sedentary,9
1488,81.8,98.91,6180,6,highly active,5
3976,65.99,98.33,15144,6,highly active,4
2959,69.28,98.85,1128,8,highly active,3
2663,69.88,99.28,1084,10,active,10
3598,93.54,100.0,13130,7,sedentary,8
3385,78.12,95.6,5875,4,sedentary,8
3919,75.21,98.79,19531,7,highly active,10
1640,76.4,99.35,1112,5,sedentary,3
2802,60.39,100.0,185,6,highly active,10
3520,68.39,97.73,17385,6,highly active,2
2969,92.26,98.51,8401,6,active,1
3198,54.85,98.1,11522,5,highly active,9
2438,75.21,98.94,2457,7,highly active,7
4369,50.09,97.21,21,4,sedentary,4
2634,69.19,99.64,4616,7,highly active,2
2787,50.91,95.44,16667,7,highly active,7
3191,71.55,96.0,523,4,sedentary,1
3393,79.71,97.98,1456,7,active,4
1623,61.33,100.0,2610,9,active,7
2016,80.42,97.78,12420,6,active,9
4643,76.66,96.29,12189,6,sedentary,4
1880,83.1,96.92,1432,7,sedentary,7
3049,59.39,99.34,5331,6,highly active,4
3944,104.76,100.0,4877,4,highly active,2
2327,57.91,97.04,3744,8,highly active,2
3301,65.62,98.71,5374,8,sedentary,7
4723,82.72,97.24,2425,8,sedentary,4
1452,76.77,99.58,5308,7,active,6
4108,87.7,98.01,8100,9,sedentary,6
2183,70.35,99.87,452,4,highly active,2
3056,52.12,99.56,1265,6,sedentary,10
4304,101.69,97.77,3127,6,sedentary,4
4170,70.46,98.01,4452,5,sedentary,9
2682,72.49,98.03,293,7,active,8
3863,102.02,95.67,5564,8,active,4
3255,67.62,98.43,14280,6,active,8
3199,55.32,95.12,5728,5,active,6
3101,103.35,98.45,10498,6,highly active,10
4191,103.55,99.04,2040,9,active,3
2696,90.32,97.19,5262,4,highly active,3
1627,86.32,97.03,3326,3,sedentary,8
1586,63.91,98.01,692,4,active,9
2648,79.36,97.8,3657,5,highly active,2
2445,40.0,95.42,2509,5,active,8
1103,91.79,99.55,2806,7,active,10
4923,83.32,98.33,3942,9,sedentary,6
1253,55.24,98.99,17415,10,sedentary,5
4298,69.6,96.86,6979,5,sedentary,2
3557,76.98,96.72,6252,8,sedentary,4
2496,49.52,98.01,11461,7,active,6
1098,56.8,97.08,12577,8,highly active,1
2884,75.99,96.58,7759,7,sedentary,9
3961,90.88,98.39,3788,5,highly active,2
2919,102.58,96.0,5864,4,sedentary,6
1877,68.12,98.65,1507,6,highly active,2
1337,80.28,94.86,6741,5,sedentary,4
4777,45.5,98.61,5055,6,active,9
3869,65.89,97.85,11419,8,active,10
4234,83.64,98.64,16298,9,highly active,6
4791,72.12,98.65,997,7,highly active,8
1956,81.78,95.95,8219,5,sedentary,2
2704,75.21,98.11,20977,6,sedentary,8
1160,83.4,95.74,17497,5,highly active,6
2603,79.96,97.18,12588,7,highly active,1
3848,77.86,99.88,347,6,active,8
1397,75.21,96.03,2037,8,active,4
2300,61.14,97.89,1124,5,highly active,8
1815,95.33,96.38,18315,10,highly active,5
2527,63.16,99.85,5312,7,highly active,7
2415,54.12,98.43,1516,8,sedentary,6
2158,67.83,97.56,7182,7,highly active,6
2218,83.04,96.05,6580,7,sedentary,6
1400,78.9,98.71,2913,5,sedentary,9
1639,76.74,98.97,4650,8,highly active,10
4104,61.75,96.03,1879,7,sedentary,5
3735,58.7,99.73,7913,6,active,7
1459,89.25,100.0,3792,6,sedentary,7
1954,100.4,96.22,167,5,highly active,3
4954,83.25,100.0,21081,5,active,2
1469,72.42,98.01,4872,6,sedentary,7
4446,93.38,97.86,8561,6,active,5
2045,75.21,100.0,1535,7,active,5
3797,90.8,99.68,953,6,sedentary,2
2693,66.05,96.75,16290,5,active,8
3085,66.79,96.98,6257,8,active,4
3277,70.01,98.65,4760,6,highly active,6
4436,73.48,98.63,5155,8,sedentary,10
1562,88.72,97.92,1886,8,active,2
3485,55.44,96.59,17068,3,highly active,3
2799,65.93,96.91,1688,5,highly active,10
4354,78.14,97.95,1204,4,active,6
3074,83.37,94.83,18619,4,highly active,8
1225,49.43,99.0,2085,8,sedentary,6
4348,63.14,98.52,13888,9,sedentary,9
3331,68.44,94.57,2051,6,active,7
3926,82.54,98.74,9960,8,active,9
1959,40.64,99.8,6372,7,sedentary,5
2504,84.8,98.79,2052,6,active,3
1452,67.36,99.21,15507,7,active,3
4900,89.57,98.79,16800,7,sedentary,4
1815,95.17,97.89,4027,8,sedentary,10
4587,65.07,98.01,18046,9,sedentary,2
1546,69.69,99.21,6439,7,active,6
2215,65.0,100.0,6521,5,active,9
4120,53.47,99.98,6144,3,sedentary,10
4583,74.53,95.66,4476,8,active,1
1441,65.1,96.67,2061,8,sedentary,8
4243,76.47,94.32,6646,6,sedentary,4
2243,100.63,94.89,8876,6,sedentary,4
3205,73.42,94.39,17384,7,active,8
3524,63.66,93.48,524,7,highly active,9
2069,70.92,97.52,2058,9,active,2
4444,76.93,100.0,10494,5,active,6
3565,72.52,98.71,10446,8,sedentary,5
3146,66.56,99.39,1668,7,sedentary,7
4963,50.15,98.11,1430,6,sedentary,2
2768,84.51,98.29,3203,8,sedentary,1
3327,96.94,97.67,9175,6,active,9
4420,75.21,98.25,7757,7,sedentary,4
3544,67.25,97.19,13699,6,active,10
1301,67.93,95.56,3935,7,highly active,7
1180,77.25,97.74,7088,6,sedentary,2
1699,84.34,98.98,516,5,active,4
1992,59.73,100.0,13,7,sedentary,6
1190,87.41,95.25,5365,4,highly active,9
3300,85.01,94.95,8437,8,sedentary,1
1980,78.5,100.0,17061,7,active,3
3975,47.94,97.21,3974,6,highly active,6
3006,56.84,95.0,4067,5,active,9
2184,54.67,98.94,1279,7,active,9
4662,69.32,97.33,16538,5,active,5
4394,75.21,96.11,7302,4,active,9
1127,57.13,100.0,1391,5,sedentary,2
3065,72.41,97.72,5744,6,active,5
2816,85.26,99.13,2784,7,highly active,8
2758,60.02,98.87,1114,6,sedentary,8
3613,62.72,100.0,1405,5,active,5
1569,92.71,97.6,5735,6,highly active,8
2346,61.09,96.0,5817,7,active,5
2895,80.13,96.64,10923,7,sedentary,5
3733,93.59,99.98,1995,8,active,2
4863,57.28,98.5,17325,4,highly active,8
1625,58.4,97.06,5118,7,sedentary,3
4359,71.53,98.69,1599,8,highly active,9
3901,75.21,100.0,3732,5,sedentary,9
2686,65.38,100.0,17980,9,sedentary,3
4009,104.57,98.74,4553,6,highly active,1
4710,83.08,100.0,14540,8,active,1
1154,62.94,95.16,1219,8,active,2
3537,54.51,99.24,17170,5,highly active,1
2409,74.05,97.64,3942,7,highly active,8
1784,81.58,95.7,19256,9,highly active,3
4175,102.61,96.14,14074,6,active,3
4464,76.14,96.37,7551,7,sedentary,10
4882,71.36,98.59,7821,4,active,9
1245,60.35,95.79,1663,7,sedentary,5
4247,80.56,99.42,6464,6,highly active,5
4110,90.25,99.93,5582,7,sedentary,6
2500,48.19,97.76,2847,5,active,10
2705,76.12,97.59,4931,7,sedentary,8
1537,54.64,97.01,37,3,highly active,2
2841,88.31,93.82,2841,8,active,8
1524,70.24,99.15,6167,8,active,1
3875,58.12,98.43,5590,7,sedentary,8
2529,66.89,99.51,16347,6,sedentary,1
3950,86.76,98.32,46,7,highly active,1
4896,66.51,98.78,5783,6,active,2
1019,57.24,96.44,2701,9,highly active,1
3368,92.92,99.22,5149,7,highly active,4
4847,43.04,96.1,3784,5,highly active,6
3559,101.77,96.97,15685,7,highly active,2
3701,77.74,98.01,496,8,highly active,9
1971,68.31,98.06,9218,4,active,9
2906,69.48,100.0,3212,6,sedentary,2
2166,77.77,97.39,3640,6,active,5
4636,76.02,99.11,3097,8,highly active,10
2823,70.49,94.57,13103,5,highly active,9
3774,108.59,98.9,14171,7,sedentary,9
2982,72.99,99.02,2897,5,sedentary,9
1853,48.55,98.3,2483,6,active,3
1050,59.85,95.77,7295,7,sedentary,3
4736,85.55,100.0,1607,5,sedentary,10
4769,64.16,99.13,4627,7,active,4
1574,75.21,100.0,1067,8,sedentary,9
4261,95.93,99.87,2544,8,active,7
2148,77.55,98.29,2472,9,highly active,1
3361,40.0,99.81,2322,5,highly active,5
3617,84.31,96.95,16014,5,active,10
3352,94.51,98.35,592,9,sedentary,10
2715,58.58,99.18,3548,9,active,9
1681,69.4,98.36,2515,6,sedentary,6
1837,79.48,96.23,3037,9,active,8
4854,93.84,97.66,2159,6,sedentary,2
2077,78.88,100.0,3376,7,sedentary,8
4050,64.39,99.29,1067,6,sedentary,1
3491,94.47,100.0,2298,8,highly active,4
4040,77.7,96.86,2952,9,highly active,8
3311,86.26,94.88,1631,7,active,2
4124,98.45,99.69,804,6,highly active,9
2595,80.53,97.66,2994,6,sedentary,1
4051,113.81,99.38,7218,5,highly active,4
4691,73.66,100.0,2045,2,highly active,4
1004,79.4,98.01,3843,8,active,8
1773,79.46,97.96,5314,7,active,10
1876,75.21,95.18,3693,7,highly active,3
1991,81.67,98.71,5697,8,active,4
4421,78.85,98.79,2049,5,sedentary,7
1046,64.91,94.62,19922,9,sedentary,4
3914,83.24,100.0,1130,8,active,9
3870,66.61,98.26,824,5,active,5
3983,54.03,97.1,7443,6,highly active,2
4891,58.05,99.3,2025,5,sedentary,1
3703,57.38,99.27,4114,7,highly active,6
1268,67.08,95.71,9156,6,highly active,2
1369,62.29,97.9,5358,3,active,4
1635,74.67,96.8,97,6,highly active,6
2693,82.74,99.05,468,7,sedentary,9
2682,80.74,96.26,18237,4,highly active,7
1656,70.14,99.11,11081,7,active,5
1830,61.1,100.0,15146,7,highly active,10
2810,90.1,96.7,4515,7,sedentary,3
4675,77.34,100.0,14995,9,active,7
2081,69.08,99.63,4978,6,highly active,7
2974,91.94,97.62,5205,6,sedentary,7
2369,83.36,96.1,3241,7,sedentary,6
1740,58.87,99.04,7997,5,active,10
4545,80.46,100.0,6243,5,sedentary,9
2632,80.44,99.24,6667,3,highly active,9
2853,90.11,96.84,3574,10,sedentary,6
3838,83.78,100.0,9411,8,active,9
2150,84.85,98.58,594,5,active,8
4464,68.38,96.7,9066,8,sedentary,3
2931,71.85,100.0,9185,5,active,7
2012,71.22,99.31,5079,7,sedentary,2
2664,51.02,98.82,2139,7,active,5
2081,94.3,97.03,5127,6,highly active,7
1633,58.21,97.93,919,5,sedentary,6
1512,79.03,96.37,2350,8,active,6
4822,70.03,98.37,3829,7,sedentary,2
3849,71.42,99.1,7830,9,sedentary,2
2119,85.16,94.14,1451,5,active,10
4709,63.3,95.42,1205,6,active,3
2141,81.85,96.18,6552,6,active,2
1559,81.99,94.99,7966,8,active,1
4672,63.37,96.35,612,5,active,5
1487,88.67,100.0,236,7,sedentary,1
4308,95.51,100.0,1114,7,sedentary,4
4956,105.37,96.76,16190,9,active,8
1896,71.07,99.11,7817,7,sedentary,9
4343,77.87,95.7,17770,4,sedentary,6
2212,78.78,100.0,7649,5,active,3
2470,101.23,93.95,4045,6,active,9
1580,82.3,100.0,6398,8,highly active,9
3908,58.58,100.0,22,7,active,1
3294,105.73,99.84,195,6,highly active,7
4147,67.87,98.59,1099,7,highly active,5
1153,40.0,94.33,5010,5,sedentary,9
2679,40.86,98.22,3941,6,sedentary,6
4506,79.88,94.88,5432,6,sedentary,8
1996,55.9,97.34,11283,6,sedentary,7
4157,75.81,98.32,12091,6,active,1
4356,79.58,96.79,5708,8,highly active,3
2243,83.46,100.0,2986,6,highly active,8
2092,77.64,94.93,2577,8,active,10
4118,64.55,96.37,2916,7,active,6
3141,69.01,93.35,3494,8,sedentary,5
2773,72.17,95.64,545,10,sedentary,2
1957,67.35,98.93,7025,8,sedentary,3
4059,70.98,99.86,5876,8,highly active,1
1452,103.07,96.05,4339,7,active,5
2227,74.93,96.94,592,8,active,4
3959,55.96,99.01,685,5,active,5
3265,60.61,94.54,5514,7,sedentary,2
3521,70.86,97.64,261,8,sedentary,2
3479,63.08,97.53,9032,8,sedentary,7
1550,53.75,99.07,6369,7,active,8
2635,73.21,98.04,8997,6,highly active,7
2312,75.21,99.54,4045,5,highly active,7
4325,65.55,98.44,7706,9,highly active,1
2757,81.59,96.14,7384,6,active,10
1356,74.4,99.44,12165,6,highly active,4
3070,74.53,99.72,8698,6,sedentary,8
2785,82.68,97.36,9677,5,highly active,2
3569,47.12,98.4,5694,5,sedentary,1
2781,93.05,100.0,4639,4,sedentary,7
4908,46.55,98.42,4297,4,highly active,9
4171,92.04,97.59,3483,6,sedentary,6
3849,81.51,95.99,2165,7,sedentary,2
4294,99.22,98.19,7784,7,sedentary,2
4977,92.75,96.75,16186,8,active,4
3809,87.21,99.2,18663,6,sedentary,9
4730,70.58,97.16,6082,5,active,10
3489,69.59,100.0,692,6,highly active,2
2631,87.62,98.46,14764,7,active,6
3816,81.79,94.84,9641,6,sedentary,3
2015,79.52,98.38,2027,8,sedentary,5
2348,74.15,97.26,11391,7,highly active,8
1515,68.88,99.43,4471,9,highly active,2
4087,54.15,98.01,15299,4,active,9
3839,84.65,98.83,1992,4,active,6
1335,72.27,100.0,11298,6,highly active,9
2782,71.3,97.58,8711,4,highly active,3
3305,47.81,99.47,102,9,active,2
1496,76.39,100.0,5800,7,sedentary,1
1895,54.55,98.62,8800,6,active,9
3207,68.48,94.78,1191,9,active,7
4546,86.89,99.56,5313,7,sedentary,2
1851,75.95,94.02,2538,6,highly active,2
2687,73.42,100.0,8341,5,highly active,2
2931,64.1,95.39,5438,7,sedentary,1
3737,66.79,100.0,6800,7,sedentary,4
4746,98.78,98.17,527,8,sedentary,5
3427,86.7,99.75,1038,8,sedentary,10
2568,68.07,99.02,5622,9,sedentary,6
1956,73.42,99.94,1399,5,highly active,2
3738,78.71,94.06,4834,10,active,6
4498,81.57,96.71,8199,9,highly active,3
2636,74.64,98.81,11617,9,sedentary,1
2291,48.44,98.1,1080,6,active,8
4906,74.53,97.2,9480,5,sedentary,10
4648,73.61,98.01,3159,7,highly active,5
4913,84.63,100.0,5068,6,active,1
4627,85.19,100.0,788,6,active,5
1284,49.52,98.98,12309,7,sedentary,7
3444,67.01,96.13,4220,8,active,6
1011,50.6,97.44,12132,7,highly active,1
2630,83.26,98.7,4978,5,sedentary,3
4373,56.84,98.3,1218,5,sedentary,9
4969,70.7,95.35,7858,8,sedentary,2
